code,title,code_title
00.00.00,Procurement and Contracting Requirements,00.00.00 - Procurement and Contracting Requirements
00.10.00,Solicitation,00.10.00 - Solicitation
00.11.00,Advertisements and Invitations,00.11.00 - Advertisements and Invitations
00.20.00,Instructions for Procurement,00.20.00 - Instructions for Procurement
00.21.00,Instructions,00.21.00 - Instructions
00.22.00,Supplementary Instructions,00.22.00 - Supplementary Instructions
00.23.00,Procurement Definitions,00.23.00 - Procurement Definitions
00.24.00,Procurement Scopes,00.24.00 - Procurement Scopes
00.25.00,Procurement Meetings,00.25.00 - Procurement Meetings
00.26.00,Procurement Substitution Procedures,00.26.00 - Procurement Substitution Procedures
00.30.00,Available Information,00.30.00 - Available Information
00.31.00,Available Project Information,00.31.00 - Available Project Information
00.40.00,Procurement Forms and Supplements,00.40.00 - Procurement Forms and Supplements
00.41.00,Bid Forms,00.41.00 - Bid Forms
00.42.00,Proposal Forms,00.42.00 - Proposal Forms
00.43.00,Procurement Form Supplements,00.43.00 - Procurement Form Supplements
00.45.00,Representations and Certifications,00.45.00 - Representations and Certifications
00.50.00,Contracting Forms and Supplements,00.50.00 - Contracting Forms and Supplements
00.51.00,Notice of Award,00.51.00 - Notice of Award
00.52.00,Agreement Forms,00.52.00 - Agreement Forms
00.54.00,Agreement Form Supplements,00.54.00 - Agreement Form Supplements
00.55.00,Notice to Proceed,00.55.00 - Notice to Proceed
00.60.00,Project Forms,00.60.00 - Project Forms
00.61.00,Bond Forms,00.61.00 - Bond Forms
00.62.00,Certificates and Other Forms,00.62.00 - Certificates and Other Forms
00.63.00,Clarification and Modification Forms,00.63.00 - Clarification and Modification Forms
00.65.00,Closeout Forms,00.65.00 - Closeout Forms
00.70.00,Conditions of the Contract,00.70.00 - Conditions of the Contract
00.71.00,Contracting Definitions,00.71.00 - Contracting Definitions
00.72.00,General Conditions,00.72.00 - General Conditions
00.73.00,Supplementary Conditions,00.73.00 - Supplementary Conditions
00.80.00,Unassigned,00.80.00 - Unassigned
00.90.00,"Revisions, Clarifications, and Modifications","00.90.00 - Revisions, Clarifications, and Modifications"
00.91.00,Precontract Revisions,00.91.00 - Precontract Revisions
00.93.00,Record Clarifications and Proposals,00.93.00 - Record Clarifications and Proposals
00.94.00,Record Modifications,00.94.00 - Record Modifications
01.00.00,General Requirements,01.00.00 - General Requirements
01.10.00,Summary,01.10.00 - Summary
01.11.00,Summary of Work,01.11.00 - Summary of Work
01.12.00,Multiple Contract Summary,01.12.00 - Multiple Contract Summary
01.14.00,Work Restrictions,01.14.00 - Work Restrictions
01.18.00,Project Utility Sources,01.18.00 - Project Utility Sources
01.20.00,Price and Payment Procedures,01.20.00 - Price and Payment Procedures
01.21.00,Allowances,01.21.00 - Allowances
01.22.00,Unit Prices,01.22.00 - Unit Prices
01.23.00,Alternates,01.23.00 - Alternates
01.24.00,Value Analysis,01.24.00 - Value Analysis
01.25.00,Substitution Procedures,01.25.00 - Substitution Procedures
01.26.00,Contract Modification Procedures,01.26.00 - Contract Modification Procedures
01.29.00,Payment Procedures,01.29.00 - Payment Procedures
01.30.00,Administrative Requirements,01.30.00 - Administrative Requirements
01.31.00,Project Management and Coordination,01.31.00 - Project Management and Coordination
01.32.00,Construction Progress Documentation,01.32.00 - Construction Progress Documentation
01.33.00,Submittal Procedures,01.33.00 - Submittal Procedures
01.35.00,Special Procedures,01.35.00 - Special Procedures
01.40.00,Quality Requirements,01.40.00 - Quality Requirements
01.41.00,Regulatory Requirements,01.41.00 - Regulatory Requirements
01.42.00,References,01.42.00 - References
01.43.00,Quality Assurance,01.43.00 - Quality Assurance
01.45.00,Quality Control,01.45.00 - Quality Control
01.50.00,Temporary Facilities and Controls,01.50.00 - Temporary Facilities and Controls
01.51.00,Temporary Utilities,01.51.00 - Temporary Utilities
01.52.00,Construction Facilities,01.52.00 - Construction Facilities
01.53.00,Temporary Construction,01.53.00 - Temporary Construction
01.54.00,Construction Aids,01.54.00 - Construction Aids
01.55.00,Vehicular Access and Parking,01.55.00 - Vehicular Access and Parking
01.56.00,Temporary Barriers and Enclosures,01.56.00 - Temporary Barriers and Enclosures
01.57.00,Temporary Controls,01.57.00 - Temporary Controls
01.58.00,Project Identification,01.58.00 - Project Identification
01.60.00,Product Requirements,01.60.00 - Product Requirements
01.61.00,Common Product Requirements,01.61.00 - Common Product Requirements
01.62.00,Product Options,01.62.00 - Product Options
01.64.00,Owner-Furnished Products,01.64.00 - Owner-Furnished Products
01.65.00,Product Delivery Requirements,01.65.00 - Product Delivery Requirements
01.66.00,Product Storage and Handling Requirements,01.66.00 - Product Storage and Handling Requirements
01.70.00,Execution and Closeout Requirements,01.70.00 - Execution and Closeout Requirements
01.71.00,Examination and Preparation,01.71.00 - Examination and Preparation
01.73.00,Execution,01.73.00 - Execution
01.74.00,Cleaning and Waste Management,01.74.00 - Cleaning and Waste Management
01.75.00,Starting and Adjusting,01.75.00 - Starting and Adjusting
01.76.00,Protecting Installed Construction,01.76.00 - Protecting Installed Construction
01.77.00,Closeout Procedures,01.77.00 - Closeout Procedures
01.78.00,Closeout Submittals,01.78.00 - Closeout Submittals
01.79.00,Demonstration and Training,01.79.00 - Demonstration and Training
01.80.00,Performance Requirements,01.80.00 - Performance Requirements
01.81.00,Facility Performance Requirements,01.81.00 - Facility Performance Requirements
01.82.00,Facility Substructure Performance Requirements,01.82.00 - Facility Substructure Performance Requirements
01.83.00,Facility Shell Performance Requirements,01.83.00 - Facility Shell Performance Requirements
01.84.00,Interiors Performance Requirements,01.84.00 - Interiors Performance Requirements
01.85.00,Conveying Equipment Performance Requirements,01.85.00 - Conveying Equipment Performance Requirements
01.86.00,Facility Services Performance Requirements,01.86.00 - Facility Services Performance Requirements
01.87.00,Equipment and Furnishings Performance Requirements,01.87.00 - Equipment and Furnishings Performance Requirements
01.88.00,Other Facility Construction Performance Requirements,01.88.00 - Other Facility Construction Performance Requirements
01.89.00,Site Construction Performance Requirements,01.89.00 - Site Construction Performance Requirements
01.90.00,Life Cycle Activities,01.90.00 - Life Cycle Activities
01.91.00,Commissioning,01.91.00 - Commissioning
01.92.00,Facility Operation,01.92.00 - Facility Operation
01.93.00,Facility Maintenance,01.93.00 - Facility Maintenance
01.94.00,Facility Decommissioning,01.94.00 - Facility Decommissioning
02.00.00,Existing Conditions,02.00.00 - Existing Conditions
02.01.00,Maintenance of Existing Conditions,02.01.00 - Maintenance of Existing Conditions
02.05.00,Common Work Results for Existing Conditions,02.05.00 - Common Work Results for Existing Conditions
02.06.00,Schedules for Existing Conditions,02.06.00 - Schedules for Existing Conditions
02.08.00,Commissioning of Existing Conditions,02.08.00 - Commissioning of Existing Conditions
02.10.00,Unassigned,02.10.00 - Unassigned
02.20.00,Assessment,02.20.00 - Assessment
02.21.00,Surveys,02.21.00 - Surveys
02.22.00,Existing Conditions Assessment,02.22.00 - Existing Conditions Assessment
02.24.00,Environmental Assessment,02.24.00 - Environmental Assessment
02.25.00,Existing Material Assessment,02.25.00 - Existing Material Assessment
02.26.00,Hazardous Material Assessment,02.26.00 - Hazardous Material Assessment
02.30.00,Subsurface Investigation,02.30.00 - Subsurface Investigation
02.31.00,Geophysical Investigations,02.31.00 - Geophysical Investigations
02.32.00,Geotechnical Investigations,02.32.00 - Geotechnical Investigations
02.40.00,Demolition and Structure Moving,02.40.00 - Demolition and Structure Moving
02.41.00,Demolition,02.41.00 - Demolition
02.42.00,Removal and Salvage of Construction Materials,02.42.00 - Removal and Salvage of Construction Materials
02.43.00,Structure Moving,02.43.00 - Structure Moving
02.50.00,Site Remediation,02.50.00 - Site Remediation
02.51.00,Physical Decontamination,02.51.00 - Physical Decontamination
02.52.00,Chemical Decontamination,02.52.00 - Chemical Decontamination
02.53.00,Thermal Decontamination,02.53.00 - Thermal Decontamination
02.54.00,Biological Decontamination,02.54.00 - Biological Decontamination
02.55.00,Remediation Soil Stabilization,02.55.00 - Remediation Soil Stabilization
02.56.00,Site Containment,02.56.00 - Site Containment
02.57.00,Sinkhole Remediation,02.57.00 - Sinkhole Remediation
02.58.00,Snow Control,02.58.00 - Snow Control
02.60.00,Contaminated Site Material Removal,02.60.00 - Contaminated Site Material Removal
02.61.00,Removal and Disposal of Contaminated Soils,02.61.00 - Removal and Disposal of Contaminated Soils
02.62.00,Hazardous Waste Recovery Processes,02.62.00 - Hazardous Waste Recovery Processes
02.65.00,Underground Storage Tank Removal,02.65.00 - Underground Storage Tank Removal
02.66.00,Landfill Construction and Storage,02.66.00 - Landfill Construction and Storage
02.70.00,Water Remediation,02.70.00 - Water Remediation
02.71.00,Groundwater Treatment,02.71.00 - Groundwater Treatment
02.72.00,Water Decontamination,02.72.00 - Water Decontamination
02.80.00,Facility Remediation,02.80.00 - Facility Remediation
02.81.00,Transportation and Disposal of Hazardous Materials,02.81.00 - Transportation and Disposal of Hazardous Materials
02.82.00,Asbestos Remediation,02.82.00 - Asbestos Remediation
02.83.00,Lead Remediation,02.83.00 - Lead Remediation
02.84.00,Polychlorinate Biphenyl Remediation,02.84.00 - Polychlorinate Biphenyl Remediation
02.85.00,Mold Remediation,02.85.00 - Mold Remediation
02.86.00,Hazardous Waste Drum Handling,02.86.00 - Hazardous Waste Drum Handling
02.90.00,Unassigned,02.90.00 - Unassigned
03.00.00,Concrete,03.00.00 - Concrete
03.01.00,Maintenance of Concrete,03.01.00 - Maintenance of Concrete
03.05.00,Common Work Results for Concrete,03.05.00 - Common Work Results for Concrete
03.06.00,Schedules for Concrete,03.06.00 - Schedules for Concrete
03.08.00,Commissioning of Concrete,03.08.00 - Commissioning of Concrete
03.10.00,Concrete Forming and Accessories,03.10.00 - Concrete Forming and Accessories
03.11.00,Concrete Forming,03.11.00 - Concrete Forming
03.15.00,Concrete Accessories,03.15.00 - Concrete Accessories
03.20.00,Concrete Reinforcing,03.20.00 - Concrete Reinforcing
